geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
3204320,Beli Manastir,Beli Manastir,HR,45.77,18.60361,6327,
3202186,Darda,Darda,HR,45.62806,18.69972,4151,
3204145,Bilje,Bilje,HR,45.60694,18.74389,3163,
3197536,Kotoriba,Kotoriba,HR,46.355,16.81806,2938,
3191265,Sarvaš,Sarvas,HR,45.52722,18.8375,1658,
3200856,Ferdinandovac,Ferdinandovac,HR,46.06054,17.19187,1352,
3197997,Kneževi Vinogradi,Knezevi Vinogradi,HR,45.75028,18.73306,1332,
3201203,Novo Virje,Novo Virje,HR,46.09139,17.15167,1026,
3198943,Jagodnjak,Jagodnjak,HR,45.69917,18.57694,990,
3202763,Čeminac,Ceminac,HR,45.68639,18.6675,865,
3196699,Legrad,Legrad,HR,46.2975,16.85667,862,
3200501,Gola,Gola,HR,46.19583,17.05806,779,
3203558,Branjin Vrh,Branjin Vrh,HR,45.79611,18.61,764,
3195346,Mece,Mece,HR,45.61889,18.72056,763,
3192725,Popovac,Popovac,HR,45.80917,18.65833,738,
3199814,Grabovac,Grabovac,HR,45.69722,18.74,736,
3198286,Karanac,Karanac,HR,45.76056,18.68444,658,
3194841,Podravska Moslavina,Podravska Moslavina,HR,45.78608,17.98339,655,
3197490,Kozarac,Kozarac,HR,45.71917,18.67611,615,
3196106,Lug,Lug,HR,45.66222,18.77583,602,
3204413,Batina,Batina,HR,45.84611,18.85,594,
3200884,Erdut,Erdut,HR,45.52639,19.06028,561,
3186377,Zmajevac,Zmajevac,HR,45.80188,18.80879,544,
3193436,Petlovac,Petlovac,HR,45.75833,18.52806,532,
3188368,Vardarac,Vardarac,HR,45.6275,18.77056,504,
3190329,Sopje,Sopje,HR,45.80111,17.7425,430,
3201250,Draž,Draz,HR,45.84222,18.78861,355,
13405691,Liberpolis,Liberpolis,HR,45.77468,18.88007,63,
