geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
3054643,Budapest,Budapest,HU,47.49835,19.04045,1741041,
721472,Debrecen,Debrecen,HU,47.53167,21.62444,172041,
715429,Szeged,Szeged,HU,46.253,20.14824,136651,
717582,Miskolc,Miskolc,HU,48.10327,20.77806,131342,
3046526,Pécs,Pecs,HU,46.07617,18.22814,123544,
7284824,Budapest XI. kerület,Budapest XI. keruelet,HU,47.47603,19.03605,118191,
3042430,Zugló,Zuglo,HU,47.51758,19.10549,110500,
3052009,Győr,Gyor,HU,47.68333,17.63512,109905,
7284842,Budapest III. kerület,Budapest III. keruelet,HU,47.54157,19.04501,105164,
716935,Nyíregyháza,Nyiregyhaza,HU,47.95539,21.71671,100035,
7284830,Budapest XIII. kerület,Budapest XIII. keruelet,HU,47.52978,19.08068,96501,
3050434,Kecskemét,Kecskemet,HU,46.90618,19.69128,93369,
3044774,Székesfehérvár,Szekesfehervar,HU,47.18995,18.41034,86360,
3043470,Újpest,Ujpest,HU,47.56863,19.08456,85589,
7284831,Budapest IV. kerület,Budapest IV. keruelet,HU,47.56182,19.08909,83617,
7284836,Budapest XVIII. kerület,Budapest XVIII. keruelet,HU,47.44417,19.17595,79241,
7284843,Budapest II. kerület,Budapest II. keruelet,HU,47.51984,19.02218,75419,
7284826,Budapest VIII. kerület,Budapest VIII. keruelet,HU,47.48919,19.07012,69888,
7284832,Budapest XV. kerület,Budapest XV. keruelet,HU,47.56263,19.11681,68185,
3049646,Kőbánya,Kobanya,HU,47.48427,19.13913,66651,
7284841,Budapest XVII. kerület,Budapest XVII. keruelet,HU,47.47997,19.25388,66512,
11054704,Józsefváros,Jozsefvaros,HU,47.48938,19.07292,65413,0
7284839,Budapest XXI. kerület,Budapest XXI. keruelet,HU,47.42215,19.06641,64888,
715126,Szolnok,Szolnok,HU,47.18066,20.19835,60592,
7284833,Budapest XVI. kerület,Budapest XVI. keruelet,HU,47.51482,19.17028,58211,
3044082,Tatabánya,Tatabanya,HU,47.59247,18.38099,55971,
3050616,Kaposvár,Kaposvar,HU,46.36667,17.8,54638,
7284840,Budapest XX. kerület,Budapest XX. keruelet,HU,47.43674,19.10093,53865,
3053281,Érd,Erd,HU,47.39489,18.91361,53046,
3055970,Angyalföld,Angyalfoeld,HU,47.54765,19.07973,52705,
3053176,Erzsébetváros,Erzsebetvaros,HU,47.50207,19.07218,52700,
3042638,Zalaegerszeg,Zalaegerszeg,HU,46.83695,16.84401,52613,
7284835,Budapest XIX. kerület,Budapest XIX. keruelet,HU,47.45293,19.14943,52368,
3049795,Kispest,Kispest,HU,47.4515,19.14017,52235,
