geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
618426,Chisinau,Chisinau,MD,47.00902,28.85938,635994,
617239,Tiraspol,Tiraspol,MD,46.84275,29.6284,157000,
618605,Bălţi,Balti,MD,47.76291,27.92854,125000,
618577,Bender,Bender,MD,46.83158,29.47671,110175,
617486,Rîbniţa,Ribnita,MD,47.76817,29.01,55455,
618456,Cahul,Cahul,MD,45.90456,28.19516,34492,
617180,Ungheni,Ungheni,MD,47.21023,27.80013,34422,
617367,Soroca,Soroca,MD,48.15659,28.28489,27423,
617638,Orhei,Orhei,MD,47.38503,28.82535,24918,
618365,Dubăsari,Dubasari,MD,47.26562,29.16667,23254,
618405,Comrat,Comrat,MD,46.29488,28.65713,22911,
617076,Edineţ,Edinet,MD,48.17319,27.30075,22872,
618450,Ceadîr-Lunga,Ceadir-Lunga,MD,46.06169,28.83078,22700,
618120,Căuşeni,Causeni,MD,46.63738,29.41087,21690,
617302,Strășeni,Straseni,MD,47.14216,28.60774,19225,
617993,Hînceşti,Hincesti,MD,46.83089,28.58999,16900,
618329,Floreşti,Floresti,MD,47.89168,28.29339,16759,
618370,Drochia,Drochia,MD,48.03686,27.81242,16080,
618054,Codru,Codru,MD,46.97648,28.819,15934,
617345,Bilicenii Vechi,Bilicenii Vechi,MD,47.6558,28.04734,15479,
617381,Slobozia,Slobozia,MD,46.72927,29.70446,15356,
618196,Ialoveni,Ialoveni,MD,46.94357,28.78153,14915,
617914,Sîngerei,Singerei,MD,47.63694,28.1407,14600,
618344,Fălești,Falesti,MD,47.57667,27.71264,14377,
617096,Vulcăneşti,Vulcanesti,MD,45.68492,28.40613,14352,
617904,Leova,Leova,MD,46.48195,28.25298,14301,
618512,Briceni,Briceni,MD,48.35628,27.70293,14132,
618454,Călăraşi,Calarasi,MD,47.25548,28.30953,14066,
617270,Taraclia,Taraclia,MD,45.90321,28.66628,13512,
618404,Congaz,Congaz,MD,46.10744,28.59303,13406,
617482,Rîşcani,Riscani,MD,47.94829,27.56669,12893,
618406,Cimişlia,Cimislia,MD,46.52629,28.7649,12464,
617753,Nisporeni,Nisporeni,MD,47.08025,28.17098,11718,
618453,Camenca,Camenca,MD,48.03233,28.69899,11072,
618594,Basarabeasca,Basarabeasca,MD,46.33352,28.96165,10809,
618387,Dnestrovsc,Dnestrovsc,MD,46.624,29.906,10426,
618261,Glodeni,Glodeni,MD,47.77467,27.51753,10146,
618400,Dancu,Dancu,MD,46.75818,28.20716,10000,
618510,Briceni,Briceni,MD,48.36302,27.07847,9900,
617502,Rezina,Rezina,MD,47.74857,28.96769,9806,
618234,Hryhoriopol,Hryhoriopol,MD,47.15413,29.30008,9456,
618382,Donduşeni,Donduseni,MD,48.24268,27.6101,9435,
617659,Ocniţa,Ocnita,MD,48.38231,27.43864,9325,
617778,Mîndreşti,Mindresti,MD,47.50525,28.27687,9280,
618067,Chiţcani,Chitcani,MD,46.78296,29.61682,9000,
618631,Otaci,Otaci,MD,48.43285,27.79912,8400,
617702,Anenii Noi,Anenii Noi,MD,46.87795,29.23503,8250,
617284,Ştefan Vodă,Stefan Voda,MD,46.51294,29.66223,7700,
617965,Cricova,Cricova,MD,47.13835,28.86156,7400,
617602,Pervomaisc,Pervomaisc,MD,46.73253,29.9617,7300,
617279,Sîngera,Singera,MD,46.91557,28.96673,7200,
618403,Criuleni,Criuleni,MD,47.2134,29.15847,6932,
824153,Ciorescu,Ciorescu,MD,47.13,28.88937,6870,
617254,Teleneşti,Telenesti,MD,47.50179,28.36478,6633,
617372,Şoldăneşti,Soldanesti,MD,47.81618,28.79841,6160,
617187,Tvardița,Tvardita,MD,46.14826,28.96491,5800,
617317,Stăuceni,Stauceni,MD,47.09643,28.86791,5700,
617081,Iargara,Iargara,MD,46.4252,28.42676,5600,
617164,Vadul lui Vodă,Vadul lui Voda,MD,47.09009,29.0757,5300,
830975,Biruinţa,Biruinta,MD,47.81353,28.07004,4700,
617973,Crasnoe,Crasnoe,MD,46.643,29.823,4200,
618057,Cocieri,Cocieri,MD,47.3017,29.11755,4151,
617149,Varniţa,Varnita,MD,46.86606,29.46636,4000,
618452,Cantemir,Cantemir,MD,46.27749,28.20052,3829,
824134,Vatra,Vatra,MD,47.0746,28.73685,3800,
617170,Ustia,Ustia,MD,47.25524,29.12406,3295,
618349,Giurgiuleşti,Giurgiulesti,MD,45.48167,28.19722,3074,
617837,Mărculeşti,Marculesti,MD,47.86897,28.24109,2400,
617471,Saharna,Saharna,MD,47.69107,28.97458,2365,
617053,Tiraspolul Nou,Tiraspolul Nou,MD,46.83,29.564,2200,
618275,Ghindești,Ghindesti,MD,47.85482,28.37679,2100,90
617118,Vişniovca,Visniovca,MD,46.3326,28.44797,1800,
618491,Bugeac,Bugeac,MD,46.36554,28.6625,1800,
618459,Bucovăţ,Bucovat,MD,47.19064,28.45802,1600,
617823,Merenii Noi,Merenii Noi,MD,46.92594,29.0624,1514,
617830,Maiac,Maiac,MD,47.23727,29.38498,1500,
617569,Popeştii de Sus,Popestii de Sus,MD,48.08806,28.02556,1463,
617578,Pogăneşti,Poganesti,MD,46.69249,28.23192,1462,
617541,Dolna,Dolna,MD,47.12189,28.27033,1155,
617660,Ocniţa,Ocnita,MD,48.13278,28.63558,815,
