geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
683506,Bucharest,Bucharest,RO,44.43225,26.10626,1877155,
675810,Iaşi,Iasi,RO,47.16667,27.6,378954,
680963,Constanţa,Constanta,RO,44.18073,28.63432,317832,
681290,Cluj-Napoca,Cluj-Napoca,RO,46.76667,23.6,243608,
683844,Braşov,Brasov,RO,45.64861,25.60613,215220,
665087,Timişoara,Timisoara,RO,45.75372,21.22571,213221,
680332,Craiova,Craiova,RO,44.31667,23.8,199019,
677697,Galaţi,Galati,RO,45.43687,28.05028,185173,
665004,Târgu Mureş,Targu Mures,RO,46.54245,24.55747,180839,
671768,Oradea,Oradea,RO,47.0458,21.91833,155639,126
670474,Ploieşti,Ploiesti,RO,44.95,26.01667,153459,
686254,Arad,Arad,RO,46.18333,21.31667,143705,
683902,Brăila,Braila,RO,45.27152,27.97429,131483,
670609,Piteşti,Pitesti,RO,44.85,24.86667,120083,
685948,Bacău,Bacau,RO,46.56718,26.91384,115673,
667268,Sibiu,Sibiu,RO,45.8,24.15,114162,
667873,Satu Mare,Satu Mare,RO,47.79926,22.86255,95616,
685826,Baia Mare,Baia Mare,RO,47.65729,23.56808,92445,
683123,Buzău,Buzau,RO,45.15,26.83333,87958,
670889,Piatra Neamţ,Piatra Neamt,RO,46.91667,26.33333,87284,
668872,Râmnicu Vâlcea,Ramnicu Valcea,RO,45.1,24.36667,79178,
684039,Botoşani,Botosani,RO,47.75,26.66667,76508,
665850,Suceava,Suceava,RO,47.63333,26.25,71661,
668954,Reşiţa,Resita,RO,45.30083,21.88917,69043,
678817,Drobeta-Turnu Severin,Drobeta-Turnu Severin,RO,44.62693,22.65288,67885,
684657,Bistriţa,Bistrita,RO,47.13316,24.50011,67045,
665010,Târgu Jiu,Targu Jiu,RO,45.05,23.28333,62513,
675918,Hunedoara,Hunedoara,RO,45.75,22.9,58765,
668732,Roman,Roman,RO,46.92119,26.92646,57646,
684802,Bârlad,Barlad,RO,46.23175,27.66907,57645,
679452,Deva,Deva,RO,45.88333,22.9,57631,
665024,Târgovişte,Targoviste,RO,44.92543,25.4567,56920,
678015,Focșani,Focsani,RO,45.7,27.18333,56650,
664518,Tulcea,Tulcea,RO,45.1787,28.80501,55780,
686578,Alba Iulia,Alba Iulia,RO,46.06667,23.58333,54592,
666767,Slatina,Slatina,RO,44.43333,24.36667,53963,
663118,Vaslui,Vaslui,RO,46.63333,27.73333,53579,
677106,Giurgiu,Giurgiu,RO,43.88664,25.9627,46368,
673634,Mediaş,Medias,RO,46.16667,24.35,45084,
662334,Zalău,Zalau,RO,47.2,23.05,44505,
667303,Sfântu Gheorghe,Sfantu Gheorghe,RO,45.86667,25.78333,42568,
6945426,Paşcani,Pascani,RO,47.2469,26.72291,38250,230
670938,Petroşani,Petrosani,RO,45.41667,23.36667,37558,
664460,Turda,Turda,RO,46.56667,23.78333,36821,
673636,Medgidia,Medgidia,RO,44.25,28.28333,36817,
674531,Lugoj,Lugoj,RO,45.68861,21.90306,36756,
681862,Câmpina,Campina,RO,45.12619,25.73496,35320,
8581467,Slobozia,Slobozia,RO,44.5647,27.3633,35317,
665355,Tecuci,Tecuci,RO,45.84973,27.43441,34980,
667227,Sighetu Marmaţiei,Sighetu Marmatiei,RO,47.93195,23.88603,34555,
686502,Alexandria,Alexandria,RO,43.98333,25.33333,34331,
673921,Mangalia,Mangalia,RO,43.81623,28.57656,33676,
668873,Râmnicu Sărat,Ramnicu Sarat,RO,45.38333,27.05,32747,
679550,Dej,Dej,RO,47.15,23.86667,32328,
671964,Odorheiu Secuiesc,Odorheiu Secuiesc,RO,46.3,25.3,31052,
668995,Reghin-Sat,Reghin-Sat,RO,46.78333,24.71667,30166,
8436351,Sighișoara,Sighisoara,RO,46.22141,24.79279,29356,350
673441,Miercurea-Ciuc,Miercurea-Ciuc,RO,46.35,25.8,29311,
682747,Caracal,Caracal,RO,44.11667,24.35,28696,
672486,Năvodari,Navodari,RO,44.31667,28.6,28140,
678306,Feteşti,Fetesti,RO,44.38333,27.83333,27936,
679907,Curtea de Argeş,Curtea de Arges,RO,45.13422,24.67409,27351,
679065,Dorohoi,Dorohoi,RO,47.95,26.4,26159,
678499,Făgăraș,Fagaras,RO,45.85,24.96667,26106,
674295,Lupeni,Lupeni,RO,45.36029,23.23832,25914,
662476,Voluntari,Voluntari,RO,44.49002,26.17338,25774,
668314,Săcele,Sacele,RO,45.61674,25.71101,25430,
678459,Fălticeni,Falticeni,RO,47.45,26.3,25139,
675892,Huşi,Husi,RO,46.67361,28.05944,24759,
7733099,Mioveni,Mioveni,RO,44.95905,24.94198,24702,
664437,Turnu Măgurele,Turnu Magurele,RO,43.7469,24.86846,24465,
664963,Târnăveni,Tarnaveni,RO,46.33191,24.29662,24338,
686590,Aiud,Aiud,RO,46.31006,23.72128,24089,
682729,Caransebeş,Caransebes,RO,45.41667,22.21667,23392,
668605,Roșiorii de Vede,Rosiorii de Vede,RO,44.11667,24.98333,23303,
667526,Sebeş,Sebes,RO,45.95646,23.571,23159,
684156,Borşa,Borsa,RO,47.65527,24.66328,22921,
681865,Câmpia Turzii,Campia Turzii,RO,46.55,23.88333,22488,
670969,Petrila,Petrila,RO,45.45,23.41667,21448,
662284,Zărnești,Zarnesti,RO,45.56093,25.31787,21187,
679995,Cugir,Cugir,RO,45.83651,23.36998,21023,
672926,Moineşti,Moinesti,RO,46.47523,26.48907,20383,
669289,Rădăuți,Radauti,RO,47.85,25.91667,20248,
678301,Fetești-Gară,Fetesti-Gara,RO,44.4196,27.82536,20220,
677429,Gherla,Gherla,RO,47.03333,23.91667,20179,
681017,Comăneşti,Comanesti,RO,46.42135,26.43645,20169,
671832,Olteniţa,Oltenita,RO,44.08333,26.63333,19230,
672757,Motru,Motru,RO,44.80333,22.97194,18971,
682685,Carei,Carei,RO,47.68333,22.46667,17658,
671757,Orăştie,Orastie,RO,45.83333,23.2,17648,
683394,Buftea,Buftea,RO,44.56139,25.94889,17587,
678978,Drăgăşani,Dragasani,RO,44.65,24.26667,17535,
685586,Balş,Bals,RO,44.35,24.1,17532,
672862,Moreni,Moreni,RO,44.98301,25.64415,17506,
681179,Codlea,Codlea,RO,45.7,25.45,17453,
665003,Târgu Neamţ,Targu Neamt,RO,47.2,26.36667,17402,
684612,Blaj,Blaj,RO,46.17508,23.91578,17315,
665000,Târgu Secuiesc,Targu Secuiesc,RO,46.0,26.13333,17056,
680897,Corabia,Corabia,RO,43.77513,24.50146,17039,
685811,Băicoi,Baicoi,RO,45.03333,25.85,16888,
677458,Gheorgheni,Gheorgheni,RO,46.72292,25.60055,16810,
662432,Vulcan,Vulcan,RO,45.38333,23.26667,16806,
681845,Câmpulung Moldovenesc,Campulung Moldovenesc,RO,47.53333,25.56667,16800,
685785,Băileşti,Bailesti,RO,44.01667,23.35,16659,
678261,Filiaşi,Filiasi,RO,44.55,23.51667,16145,
683034,Calafat,Calafat,RO,43.99069,22.93328,15846,
682321,Cernavodă,Cernavoda,RO,44.33957,28.03273,15726,
683365,Buhuşi,Buhusi,RO,46.71667,26.7,15635,
683760,Breaza,Breaza,RO,45.18333,25.66667,15256,
668129,Salonta,Salonta,RO,46.8,21.65,14926,
674541,Luduş,Ludus,RO,46.48333,24.1,14590,
664074,Urziceni,Urziceni,RO,44.71667,26.63333,14254,
685823,Baia Sprie,Baia Sprie,RO,47.66189,23.69215,14234,
684490,Bocşa,Bocsa,RO,45.37333,21.70917,13896,
671382,Pantelimon,Pantelimon,RO,44.45,26.2,13775,
663100,Vatra Dornei,Vatra Dornei,RO,47.35,25.36667,13645,
683974,Brad,Brad,RO,46.13333,22.78333,13589,
676527,Gura Humorului,Gura Humorului,RO,47.55,25.9,13368,
667101,Şimleu Silvaniei,Simleu Silvaniei,RO,47.23333,22.8,13362,
673033,Mizil,Mizil,RO,45.01667,26.45,13202,
662699,Vişeu de Sus,Viseu de Sus,RO,47.7079,24.42953,13046,
672024,Ocna Mureş,Ocna Mures,RO,46.38333,23.85,13018,
669870,Popeşti-Leordeni,Popesti-Leordeni,RO,44.38333,26.16667,12987,
668828,Râşnov,Rasnov,RO,45.58333,25.45,12965,
662187,Zimnicea,Zimnicea,RO,43.65638,25.36454,12943,
686669,Adjud,Adjud,RO,46.09911,27.18143,12901,
681502,Cisnădie,Cisnadie,RO,45.71667,24.15,12785,
677742,Găeşti,Gaesti,RO,44.71667,25.31667,12781,
666958,Sânpetru,Sanpetru,RO,45.71082,25.63678,12750,
669517,Pucioasa,Pucioasa,RO,45.07807,25.43232,12725,
679724,Dărmăneşti,Darmanesti,RO,46.36667,26.48333,12146,
662992,Vicovu de Sus,Vicovu de Sus,RO,47.93333,25.68333,11965,
686011,Avrig,Avrig,RO,45.71667,24.38333,11927,
673816,Marghita,Marghita,RO,47.35,22.33333,11790,
667121,Simeria,Simeria,RO,45.85,23.01667,11752,
665013,Târgu Frumos,Targu Frumos,RO,47.2,27.0,11727,
679841,Dăbuleni,Dabuleni,RO,43.8,24.08333,11594,
672365,Negreşti-Oaş,Negresti-Oas,RO,47.86667,23.43333,11437,
672912,Moldova Nouă,Moldova Noua,RO,44.7375,21.66694,11273,
671584,Ovidiu,Ovidiu,RO,44.258,28.56083,11268,
681005,Comarnic,Comarnic,RO,45.25,25.63333,11265,
665002,Târgu Ocna,Targu Ocna,RO,46.27899,26.61301,11157,
666973,Sânnicolau Mare,Sannicolau Mare,RO,46.08333,20.63333,10954,
666235,Ştefăneşti,Stefanesti,RO,44.86506,24.94961,10911,
668552,Pecica,Pecica,RO,46.16667,21.06667,10883,
681990,Chitila,Chitila,RO,44.50806,25.98222,10869,
683030,Călan,Calan,RO,45.73333,22.98333,10864,
665540,Ţăndărei,Tandarei,RO,44.64128,27.65635,10846,
666936,Sântana,Santana,RO,46.35,21.5,10800,
670064,Poiana Mare,Poiana Mare,RO,43.91667,23.06667,10738,
664750,Topliţa,Toplita,RO,46.9243,25.3519,10717,
667593,Scorniceşti,Scornicesti,RO,44.56667,24.55,10587,
671681,Orşova,Orsova,RO,44.72299,22.39619,10497,
671746,Oraviţa,Oravita,RO,45.0325,21.68944,10482,
668555,Rovinari,Rovinari,RO,44.91667,23.18333,10420,
678987,Drăgăneşti-Olt,Draganesti-Olt,RO,44.16667,24.53333,10247,
663256,Vălenii de Munte,Valenii de Munte,RO,45.18333,26.03333,10237,
675231,Jilava,Jilava,RO,44.33333,26.07806,10219,
676078,Holboca,Holboca,RO,47.15,27.7,10175,
667091,Sinaia,Sinaia,RO,45.35,25.55,10130,
679736,Darabani,Darabani,RO,48.18333,26.58333,10106,
664819,Tomeşti,Tomesti,RO,47.11667,27.68333,10053,
662976,Videle,Videle,RO,44.27806,25.52444,10041,
666031,Storeşti,Storesti,RO,47.55,26.86667,10035,
664150,Urlaţi,Urlati,RO,44.98333,26.23333,10028,
684266,Bolintin Vale,Bolintin Vale,RO,44.44889,25.75778,9945,
673685,Matca,Matca,RO,45.85,27.53333,9895,
665997,Strehaia,Strehaia,RO,44.61667,23.2,9865,
671603,Oţelu Roşu,Otelu Rosu,RO,45.53333,22.36667,9759,
666395,Sovata,Sovata,RO,46.58333,25.06667,9745,
684280,Boldeşti-Scăeni,Boldesti-Scaeni,RO,45.03333,26.03333,9741,
672331,Nehoiu,Nehoiu,RO,45.41667,26.3,9647,
685163,Belceşti,Belcesti,RO,47.3,27.08333,9634,
676176,Hârlău,Harlau,RO,47.43333,26.9,9600,
671187,Pechea,Pechea,RO,45.63333,27.8,9593,
675840,Ianca,Ianca,RO,45.13333,27.45,9527,
675261,Jibou,Jibou,RO,47.25896,23.25651,9505,
