geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
3058531,Nitra,Nitra,SK,48.30763,18.08453,86329,
3058472,Nové Zámky,Nove Zamky,SK,47.98544,18.16195,36781,
3059435,Komárno,Komarno,SK,48.11667,18.31667,32287,
3059436,Komárno,Komarno,SK,47.76356,18.12263,32287,
3059101,Levice,Levice,SK,48.21563,18.60705,30556,
3060308,Dunajská Streda,Dunajska Streda,SK,47.99268,17.61211,22730,
3057769,Šaľa,Sala,SK,48.15127,17.88062,20239,
3060219,Galanta,Galanta,SK,48.19001,17.72747,15277,
3056825,Veľký Krtíš,Velky Krtis,SK,48.21059,19.35043,10552,
3059448,Kolárovo,Kolarovo,SK,47.92294,17.98467,10470,
3060242,Fiľakovo,Filakovo,SK,48.26757,19.82473,9726,
3057379,Štúrovo,Sturovo,SK,47.79495,18.7175,9361,
3057339,Šurany,Surany,SK,48.08613,18.18447,9326,
723265,Veľké Kapušany,Velke Kapusany,SK,48.55197,22.08036,8527,
3056711,Vráble,Vrable,SK,48.24371,18.30846,8432,
3056816,Veľký Meder,Velky Meder,SK,47.85798,17.76884,8301,
3059821,Hurbanovo,Hurbanovo,SK,47.86984,18.19233,7472,
724411,Kráľovský Chlmec,Kralovsky Chlmec,SK,48.42336,21.97944,7391,
3057772,Šahy,Sahy,SK,48.07408,18.94946,6992,
3056547,Želiezovce,Zeliezovce,SK,48.05075,18.65421,6588,
3060224,Gabčíkovo,Gabcikovo,SK,47.89211,17.57884,5265,114
3058540,Nesvady,Nesvady,SK,47.92819,18.12675,5037,
3060267,Dvory nad Žitavou,Dvory nad Zitavou,SK,47.98946,18.26717,4999,
3060842,Cabaj-Čápor,Cabaj-Capor,SK,48.24445,18.02899,4318,
3058674,Močenok,Mocenok,SK,48.22774,17.93075,4316,
3056848,Veľké Zálužie,Velke Zaluzie,SK,48.30841,17.93874,4315,
3059430,Komjatice,Komjatice,SK,48.15704,18.17027,4223,
3057105,Trstice,Trstice,SK,48.01446,17.80843,3876,
3058792,Marcelová,Marcelova,SK,47.7879,18.28262,3778,
3058414,Okoč,Okoc,SK,47.88757,17.80867,3710,
3057205,Tešedíkovo,Tesedikovo,SK,48.10609,17.8519,3656,
3057191,Tlmače,Tlmace,SK,48.28926,18.53152,3542,
3056725,Bátorove Kosihy,Batorove Kosihy,SK,47.8294,18.42016,3305,
3057170,Topoľníky,Topolniky,SK,47.96748,17.79016,3135,
3056823,Veľký Kýr,Velky Kyr,SK,48.18245,18.15733,2975,
3058653,Mojmírovce,Mojmirovce,SK,48.20735,18.06581,2963,
3056709,Vrakúň,Vrakun,SK,47.94293,17.60113,2835,
3059766,Ivanka pri Nitre,Ivanka pri Nitre,SK,48.24295,18.11617,2818,
3057234,Tekovské Lužany,Tekovske Luzany,SK,48.09865,18.53787,2810,
3057294,Svätý Peter,Svaety Peter,SK,47.84151,18.25413,2712,
3058018,Pribeta,Pribeta,SK,47.89977,18.31505,2671,
3060579,Diakovce,Diakovce,SK,48.1345,17.842,2380,
3057273,Svodín,Svodin,SK,47.91054,18.49967,2372,
3056539,Zemianska Olča,Zemianska Olca,SK,47.80808,17.86652,2281,
3059125,Lehota,Lehota,SK,48.31157,17.98948,2212,
3060976,Branč,Branc,SK,48.21869,18.14423,2204,
3057137,Trhová Hradská,Trhova Hradska,SK,47.98995,17.76109,2198,
3060074,Holice,Holice,SK,47.99305,17.48179,2159,
3056529,Zemné,Zemne,SK,47.9836,17.99492,2136,
3060209,Gbelce,Gbelce,SK,47.85185,18.51277,2133,
3060028,Horná Potôň,Horna Poton,SK,48.0389,17.49038,2111,
3059600,Kálna,Kalna,SK,48.19784,18.51976,2057,
3059706,Jarok,Jarok,SK,48.27541,17.95913,2046,
3058884,Malá Maňa,Mala Mana,SK,48.1452,18.26453,2004,
3059787,Imeľ,Imel,SK,47.90403,18.14169,1972,
3057403,Strekov,Strekov,SK,47.9042,18.41652,1926,
3058613,Mužla,Muzla,SK,47.79302,18.59931,1912,
3060394,Dolný Štál,Dolny Stal,SK,47.93333,17.71667,1911,
3059583,Kameničná,Kamenicna,SK,47.81886,18.03861,1894,
3060193,Golianovo,Golianovo,SK,48.27189,18.19185,1889,
3056822,Veľký Lapáš,Velky Lapas,SK,48.29105,18.181,1840,
3056674,Vydrany,Vydrany,SK,48.01806,17.58588,1816,
3059760,Iža,Iza,SK,47.75198,18.22763,1802,
3058367,Orechová Potôň,Orechova Poton,SK,48.01708,17.53806,1725,
3058657,Modrý Kameň,Modry Kamen,SK,48.2413,19.33495,1664,
3060313,Dulovce,Dulovce,SK,47.86915,18.27284,1623,
3056893,Veľké Blahovo,Velke Blahovo,SK,48.00371,17.57641,1593,
3056841,Veľký Cetín,Velky Cetin,SK,48.22033,18.19087,1524,
3059582,Kamenín,Kamenin,SK,47.88844,18.64313,1479,
3056868,Veľké Ludince,Velke Ludince,SK,47.96271,18.5114,1470,
3059206,Kútniky,Kutniky,SK,47.96667,17.66667,1469,
3058413,Okoličná na Ostrove,Okolicna na Ostrove,SK,47.80382,17.92093,1462,
