geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
698740,Odesa,Odesa,UA,46.48572,30.74383,1015826,50
710719,Chernivtsi,Chernivtsi,UA,48.29045,25.93241,265471,
707471,Ivano-Frankivsk,Ivano-Frankivsk,UA,48.92312,24.71248,238196,260
690548,Uzhhorod,Uzhhorod,UA,48.6242,22.2947,115449,120
700646,Mukachevo,Mukachevo,UA,48.44248,22.718,85569,120
707308,Izmail,Izmail,UA,45.35058,28.83751,69932,
707099,Kalush,Kalush,UA,49.02398,24.37206,65088,290
705392,Kolomyia,Kolomyia,UA,48.52496,25.03712,60821,300
707688,Chornomors’k,Chornomors'k,UA,46.29914,30.65529,57983,29
712160,Bilhorod-Dnistrovskyi,Bilhorod-Dnistrovskyi,UA,46.19484,30.34827,47727,
700918,Mohyliv-Podilskyy,Mohyliv-Podilskyy,UA,48.44278,27.79975,30589,79
706165,Khust,Khust,UA,48.17193,23.29791,28424,164
688746,Vynohradiv,Vynohradiv,UA,48.14126,23.03623,25317,117
712423,Berehove,Berehove,UA,48.20514,22.64453,23325,115
700507,Nadvirna,Nadvirna,UA,48.63659,24.5714,22504,427
709755,Dolyna,Dolyna,UA,48.97158,23.96558,20417,373
705883,Kiliya,Kiliya,UA,45.44445,29.26396,19540,4
12129128,Reni,Reni,UA,45.45421,28.27731,18530,24
695344,Rozdilna,Rozdilna,UA,46.85479,30.07091,17858,134
692129,Svalyava,Svalyava,UA,48.54735,22.98673,17068,204
695859,Rakhiv,Rakhiv,UA,48.05472,24.20314,15621,430
711841,Bolhrad,Bolhrad,UA,45.67786,28.61811,15044,75
713163,Artsyz,Artsyz,UA,45.98526,29.43286,14355,16
692487,Storozhynets,Storozhynets,UA,48.15938,25.72144,14198,366
690082,Velykodolynske,Velykodolynske,UA,46.34642,30.57902,13856,19
9983758,Lymanka,Lymanka,UA,46.38564,30.67736,13085,46
697741,Perehinske,Perehinske,UA,48.81118,24.19196,12681,466
712488,Bilyayivka,Bilyayivka,UA,46.48427,30.2089,12477,4
698138,Ovidiopol,Ovidiopol,UA,46.24721,30.43746,11572,16
693020,Yampil,Yampil,UA,48.24056,28.28141,10957,81
691803,Tatarbunary,Tatarbunary,UA,45.83861,29.61123,10836,14
699620,Novodnistrovsk,Novodnistrovsk,UA,48.58321,27.43658,10590,225
704379,Krasnoyilsk,Krasnoyilsk,UA,48.01865,25.56004,10428,409
704920,Korolevo,Korolevo,UA,48.15731,23.13769,10385,178
711850,Bolekhiv,Bolekhiv,UA,49.06479,23.85953,10259,363
865087,Teplodar,Teplodar,UA,46.50196,30.32256,9958,37
693365,Sniatyn,Sniatyn,UA,48.44883,25.55994,9942,227
709516,Dubove,Dubove,UA,48.17473,23.88693,9938,411
690158,Velyki Luchky,Velyki Luchky,UA,48.41822,22.56765,9650,
701299,Mizhhirya,Mizhhirya,UA,48.52435,23.50091,9567,450
707757,Hlyboka,Hlyboka,UA,48.08756,25.9284,9424,345
698461,Oprysheny,Oprysheny,UA,48.05334,26.02699,9376,353
710820,Cherepkivtsi,Cherepkivtsi,UA,48.01557,25.9643,9376,314
690873,Tysmenytsia,Tysmenytsia,UA,48.9036,24.84695,9287,248
690040,Velykyy Bychkiv,Velykyy Bychkiv,UA,47.96821,24.01061,9255,307
707559,Irshava,Irshava,UA,48.31227,23.04065,9163,131
707681,Ilnytsia,Ilnytsia,UA,48.35662,23.07616,9050,
690906,Tyachiv,Tyachiv,UA,48.01092,23.57168,9019,213
706244,Khotyn,Khotyn,UA,48.50555,26.48978,8936,244
687826,Zalishchyky,Zalishchyky,UA,48.64098,25.7317,8928,160
691497,Tlumach,Tlumach,UA,48.86519,25.00385,8886,225
693284,Sokyryany,Sokyryany,UA,48.44913,27.41138,8877,228
702365,Mahala,Mahala,UA,48.29681,26.0433,8876,152
708380,Horodenka,Horodenka,UA,48.669,25.5033,8812,280
693176,Solotvyno,Solotvyno,UA,47.94728,23.87433,8632,281
710409,Chop,Chop,UA,48.4316,22.20446,8626,102
710958,Chahor,Chahor,UA,48.2433,25.99392,8564,186
688365,Yasinya,Yasinya,UA,48.2726,24.36029,8559,650
700292,Nerubayske,Nerubayske,UA,46.54445,30.62921,8558,40
707756,Dachne,Dachne,UA,46.57844,30.54733,8549,76
704764,Kosiv,Kosiv,UA,48.32051,25.09109,8522,352
690648,Usatove,Usatove,UA,46.52893,30.64951,8483,39
711105,Bushtyno,Bushtyno,UA,48.0473,23.48576,8444,200
710202,Deliatyn,Deliatyn,UA,48.5248,24.62566,8276,419
688717,Vyshkovo,Vyshkovo,UA,48.04885,23.41986,8243,200
711887,Bohorodchany,Bohorodchany,UA,48.80812,24.53728,8222,333
709701,Yaremche,Yaremche,UA,48.44886,24.55335,8094,580
712602,Bilky,Bilky,UA,48.32629,23.13811,8064,
