geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
726050,Varna,Varna,BG,43.21912,27.91024,312770,
727523,Ruse,Ruse,BG,43.84872,25.9534,143417,
728203,Pleven,Pleven,BG,43.41791,24.61666,100952,
726418,Dobrich,Dobrich,BG,43.56491,27.83138,79269,
727233,Shumen,Shumen,BG,43.27064,26.92286,72342,
725712,Vratsa,Vratsa,BG,43.21052,23.56312,64941,
729114,Montana,Montana,BG,43.41285,23.22174,47445,
725905,Vidin,Vidin,BG,43.99159,22.88236,40422,
727696,Razgrad,Razgrad,BG,43.53331,26.51849,38285,
726534,Svishtov,Svishtov,BG,43.61875,25.35033,30157,
727221,Silistra,Silistra,BG,44.1171,27.26056,29498,
733606,Asparuhovo,Asparuhovo,BG,43.18067,27.88823,27000,
729581,Lom,Lom,BG,43.8317,23.23793,26594,
733264,Berkovitsa,Berkovitsa,BG,43.23741,23.12509,15027,
730013,Kozloduy,Kozloduy,BG,43.77691,23.73001,14717,
727921,Provadia,Provadia,BG,43.18333,27.43333,13755,
728734,Novi Pazar,Novi Pazar,BG,43.35,27.2,13276,
732491,Cherven Bryag,Cherven Bryag,BG,43.27884,24.08251,13000,
733515,Balchik,Balchik,BG,43.42166,28.15848,13000,
729134,Mezdra,Mezdra,BG,43.15,23.7,11975,
729636,Levski,Levski,BG,43.36667,25.13333,11467,
730518,Kavarna,Kavarna,BG,43.43601,28.33953,11205,
732704,Byala Slatina,Byala Slatina,BG,43.46667,23.93333,10282,
726141,Tutrakan,Tutrakan,BG,44.04906,26.61206,10022,
729507,Lukovit,Lukovit,BG,43.2,24.16667,9792,
733359,Belene,Belene,BG,43.65062,25.1343,9781,
6355004,Zlatni Pyasatsi,Zlatni Pyasatsi,BG,43.285,28.0418,9760,
730866,Isperih,Isperih,BG,43.71667,26.83333,9735,
729839,Kubrat,Kubrat,BG,43.79658,26.50063,8980,
726524,Svoge,Svoge,BG,42.96667,23.35,8964,
732280,Devnya,Devnya,BG,43.22222,27.56944,8171,
725213,Beloslav,Beloslav,BG,43.18717,27.70352,7989,
731464,General Toshevo,General Toshevo,BG,43.70123,28.03787,7758,
727069,Slivnitsa,Slivnitsa,BG,42.85182,23.03792,7545,
725623,Varshets,Varshets,BG,43.19356,23.2868,7512,
731453,Dolni Chiflik,Dolni Chiflik,BG,42.99296,27.71596,7169,
733716,Aksakovo,Aksakovo,BG,43.25907,27.81755,7132,
730287,Knezha,Knezha,BG,43.5,24.08333,6889,
726474,Tervel,Tervel,BG,43.74789,27.40911,6808,
731818,Dulovo,Dulovo,BG,43.81667,27.15,6788,
728565,Oryahovo,Oryahovo,BG,43.73805,23.95874,5706,
733309,Belogradchik,Belogradchik,BG,43.62722,22.68361,5688,
731822,Dalgopol,Dalgopol,BG,43.05,27.35,5272,
732099,Dolni Dabnik,Dolni Dabnik,BG,43.4,24.43333,5259,
725683,Valchedram,Valchedram,BG,43.69281,23.44518,5207,
725935,Vetovo,Vetovo,BG,43.7,26.26667,5175,
731384,Godech,Godech,BG,43.01682,23.04852,5154,
727087,Slavyanovo,Slavyanovo,BG,43.46667,24.86667,4793,
726591,Suvorovo,Suvorovo,BG,43.33058,27.59908,4563,
731771,Dve Mogili,Dve Mogili,BG,43.59258,25.87486,4526,
728348,Iskar,Iskar,BG,43.45963,24.25739,4329,
